model_number age period_days binary_separation v_orb_1 v_orb_2 rl_1 rl_2 rl_relative_overflow_1 rl_relative_overflow_2 star_1_mass star_2_mass lg_mtransfer_rate lg_mstar_dot_1 mstar_dot_1 lg_mstar_dot_2 lg_system_mdot_1 lg_system_mdot_2 lg_wind_mdot_1 lg_wind_mdot_2 fixed_xfer_fraction eff_xfer_fraction J_orb Jdot jdot_mb jdot_gr jdot_ml jdot_ls jdot_missing_wind extra_jdot donor_index point_mass_index
290 10527543954.8761 1.36092769351442 6.87095513205423 146.735804136839 108.69318824951 2.42719480816825 2.78375752717104 -0.398032921791024 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.39470103340003E+052 -1.22467541441244E+035 -1.21947759067134E+035 -5.19782374110241E+032 0 0 0 0 1 2
295 10545366213.899 1.34016619250925 6.80089678167305 147.489655399341 109.251596592105 2.40244639094737 2.75537348791208 -0.39009452315414 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.38757241728119E+052 -1.29708093465903E+035 -1.29169327035093E+035 -5.38766430809556E+032 0 0 0 0 1 2
300 10562109448.997 1.31972616598278 6.73156891786471 148.247201715693 109.812742011624 2.37795602128799 2.72728540423085 -0.382142437008364 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.38048189306747E+052 -1.37296250431807E+035 -1.36737811265203E+035 -5.58439166604652E+032 0 0 0 0 1 2
305 10577848018.9215 1.29960210799323 6.66296220160522 149.008477703289 110.376650150584 2.35372040013924 2.69948949243528 -0.374166609992042 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.37342908820226E+052 -1.45254443854076E+035 -1.44675618156341E+035 -5.78825697734593E+032 0 0 0 0 1 2
310 10592649648.5982 1.27978864472385 6.59506752399081 149.773517481416 110.943346282531 2.32973630974122 2.67198206206622 -0.366160099433591 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.36641364313172E+052 -1.53604174804414E+035 -1.53004222586911E+035 -5.99952217503062E+032 0 0 0 0 1 2
315 10606576739.5398 1.26028112910493 6.52787806725717 150.542330809011 111.512837636304 2.306001341689 2.6447603509163 -0.358137648117978 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.35943542634577E+052 -1.62346884632514E+035 -1.61725038941453E+035 -6.21845691061511E+032 0 0 0 0 1 2
320 10619687575.8439 1.24107464567435 6.46138591133252 151.314940877529 112.085141390762 2.28251269818276 2.61782115017992 -0.350088309651912 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.35249418517155E+052 -1.71508685170468E+035 -1.7086415176073E+035 -6.44533409738233E+032 0 0 0 0 1 2
325 10632035680.7529 1.22216399243386 6.39558194338377 152.091386428901 112.66028624363 2.25926716007453 2.59116076780594 -0.342003291161828 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.34558953318572E+052 -1.8111593784881E+035 -1.80447893156406E+035 -6.68044692404937E+032 0 0 0 0 1 2
330 10643670039.7458 1.20354450574753 6.3304587212125 152.871688355391 113.23828767066 2.23626209837534 2.56477618859843 -0.333891028970792 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.3387212496186E+052 -1.91177640762656E+035 -1.90485230898687E+035 -6.92409863968241E+032 0 0 0 0 1 2
335 10654636786.3174 1.18521199489654 6.2660102872022 153.655850533545 113.819148543366 2.21349540853121 2.53866499883769 -0.325752114955936 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.33188926393503E+052 -2.01710795973244E+035 -2.00993137170222E+035 -7.17658803022414E+032 0 0 0 0 1 2
340 10664978532.446 1.16716139687908 6.20222744215977 154.44391732965 114.402901725666 2.19096384088716 2.51282347148397 -0.317576214771126 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.32509315488041E+052 -2.12746707612603E+035 -2.12002883210597E+035 -7.43824402006119E+032 0 0 0 0 1 2
345 10674734388.7712 1.14938810684456 6.13910240052299 155.235917892114 114.989568808973 2.16866464515941 2.48724845222797 -0.309360155942189 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.3183326413457E+052 -2.24310120776187E+035 -2.23539180538394E+035 -7.70940237793192E+032 0 0 0 0 1 2
350 10683940819.9382 1.13188805062351 6.07662908799404 156.031861074322 115.57915635135 2.14659567557585 2.46193748007674 -0.301109295638755 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.31160761819634E+052 -2.36415595151893E+035 -2.35616554909864E+035 -7.99040242028974E+032 0 0 0 0 1 2
355 10692631444.838 1.11465619483007 6.01479782707211 156.831803109863 116.171706007306 2.12475351351718 2.43688663420483 -0.292804902438955 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.30491758436949E+052 -2.49111212790825E+035 -2.48283051393246E+035 -8.28161397578884E+032 0 0 0 0 1 2
360 10700837888.9242 1.09768917891711 5.95360476276566 157.635726498176 116.767204813463 2.10313679719085 2.41209435276799 -0.284468152738619 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.29826266045599E+052 -2.62391645083497E+035 -2.61533305789362E+035 -8.58339294135534E+032 0 0 0 0 1 2
365 10708589768.7385 1.08098254261545 5.89304193723106 158.443667629581 117.365679725616 2.08174271545397 2.38755741165741 -0.27609003760802 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.29164251704197E+052 -2.76293486803682E+035 -2.75403874056041E+035 -8.89612747640462E+032 0 0 0 0 1 2
